"x1","y1","z1","x2","y2","z2","l","r1","r2","p","dl","dr","Q1","Q2","p1","p2","Q1p","Q2p","A1p","A2p"
1.12681,-1.94403,-3.85691,1.26536,-1.96904,-3.89544,0.145973,0.0381873,0.0381873,108,110,-10,0,0,-6.76852,-6.76852,0,0,0,0
1.26536,-1.96904,-3.89544,1.29188,-1.97497,-3.90253,0.0280805,0.0380737,0.0380737,109,111,-10,0,0,-6.74839,-6.74839,0,0,0,0
1.29188,-1.97497,-3.90253,1.33961,-1.98564,-3.9153,0.0505448,0.0380154,0.0380154,110,112,-10,0,0,-6.73805,-6.73805,0,0,0,0
1.33961,-1.98564,-3.9153,1.53052,-2.02831,-3.96636,0.202179,0.0379656,0.0379656,111,113,-10,0,0,-6.72923,-6.72923,0,0,0,0
1.53052,-2.02831,-3.96636,1.7073,-2.06782,-4.01364,0.187203,0.0378945,0.0378945,112,114,-10,0,0,-6.71663,-6.71663,0,0,0,0
1.7073,-2.06782,-4.01364,1.95815,-2.09411,-4.08807,0.262981,0.035566,0.035566,113,115,-10,0,0,-6.30391,-6.30391,0,0,0,0
1.95815,-2.09411,-4.08807,2.1597,-2.29526,-4.21854,0.313224,0.0339738,0.0339738,114,116,-10,0,0,-6.0217,-6.0217,0,0,0,0
2.1597,-2.29526,-4.21854,2.24608,-2.38147,-4.27445,0.134239,0.0338937,0.0338937,115,-10,-10,0,0,-6.0075,-6.0075,0,0,0,0
-0.241674,-1.24879,-3.36931,-0.250237,-1.25747,-3.37581,0.0138183,0.0538553,0.0538553,80,118,-10,0,0,-9.5456,-9.5456,0,0,0,0
-0.250237,-1.25747,-3.37581,-0.357697,-1.36227,-3.45857,0.171405,0.0519139,0.0519139,117,119,-10,0,0,-9.2015,-9.2015,0,0,0,0
-0.357697,-1.36227,-3.45857,-0.518886,-1.51948,-3.5827,0.257108,0.0518885,0.0518885,118,120,-10,0,0,-9.197,-9.197,0,0,0,0
-0.518886,-1.51948,-3.5827,-0.536796,-1.53694,-3.5965,0.0285676,0.0518279,0.0518279,119,121,-10,0,0,-9.18626,-9.18626,0,0,0,0
-0.536796,-1.53694,-3.5965,-0.697985,-1.69415,-3.72063,0.257108,0.0518003,0.0518003,120,122,-10,0,0,-9.18136,-9.18136,0,0,0,0
-0.697985,-1.69415,-3.72063,-0.780546,-1.79332,-3.77892,0.141594,0.0493575,0.0493575,121,123,-10,0,0,-8.74839,-8.74839,0,0,0,0
-0.780546,-1.79332,-3.77892,-0.789719,-1.80434,-3.7854,0.0157327,0.049159,0.049159,122,124,-10,0,0,-8.71321,-8.71321,0,0,0,0
-0.789719,-1.80434,-3.7854,-0.81284,-1.82778,-3.80295,0.0373095,0.0490389,0.0490389,123,125,-10,0,0,-8.69192,-8.69192,0,0,0,0
-0.81284,-1.82778,-3.80295,-0.896074,-1.91215,-3.86614,0.134314,0.0474786,0.0474786,124,126,-10,0,0,-8.41536,-8.41536,0,0,0,0
