"x1","y1","z1","x2","y2","z2","l","r1","r2","Q1","Q2","p1","p2","Q1v","Q2v","p1v","p2v","S1","S2"
-2.74845,0.98719,2.76274,-2.77348,0.96575,2.70294,0.017108,0.0524634,0.0524634,6.1635,6.1635,-29.2194,-30.7813,0,0,0,0,6.1635,6.1635
-2.77348,0.96575,2.70294,-2.8013,0.95925,2.63822,0.0205518,0.0524634,0.0510215,6.1635,4.26048,-30.7813,-30.0795,0,0,0,0,6.1635,4.26048
-2.79363,0.95538,2.65689,-2.8243,0.97088,2.58222,0.0205446,0.0344395,0.0510215,1.90302,4.26048,10.1715,-31.2383,0,0,0,0,1.90302,4.26048
-2.8243,0.97088,2.58222,-2.84073,0.96853,2.53826,0.0156608,0.0453648,0.0453648,3.61605,3.61605,-21.1055,-22.4744,0,0,0,0,3.61605,3.61605
-2.84073,0.96853,2.53826,-2.86264,0.96541,2.47966,0.0156608,0.0453648,0.0453648,3.61605,3.61605,-22.4744,-24.3324,0,0,0,0,3.61605,3.61605
-2.86264,0.96541,2.47966,-2.89279,0.98436,2.45621,0.0163953,0.0453648,0.0227256,3.61605,1.78746,-24.3324,46.3249,0,0,0,0,3.61605,1.78746
-2.89279,0.98436,2.45621,-2.94286,1.00849,2.43508,0.0142794,0.0227256,0.0227256,1.78746,1.78746,46.3249,10.3003,0,0,0,0,1.78746,1.78746
-2.94286,1.00849,2.43508,-2.99441,1.01059,2.40566,0.0156626,0.0227256,0.0227256,1.78746,1.78746,10.3003,-40.5384,0,0,0,0,1.78746,1.78746
-2.99441,1.01059,2.40566,-3.02057,1.0083,2.38858,0.0156626,0.0227256,0.0227256,1.78746,1.78746,-40.5384,-112.5,0,0,0,0,1.78746,1.78746
-2.87479,0.96452,2.44788,-2.90059,0.96343,2.38313,0.0145936,0.041039,0.0227512,1.82859,1.10435,-16.0226,54.6237,0,0,0,0,1.82859,1.10435
-2.89479,0.96419,2.3965,-2.91799,0.96115,2.34303,0.0145936,0.0255477,0.0227512,0.724244,1.10435,40.2235,40.764,0,0,0,0,0.724244,1.10435
-2.91799,0.96115,2.34303,-2.93881,0.95467,2.28947,0.0144589,0.0227512,0.0227512,1.10435,1.10435,40.764,20.2531,0,0,0,0,1.10435,1.10435
-2.93881,0.95467,2.28947,-2.95739,0.94427,2.23603,0.0143798,0.0227512,0.0227512,1.10435,1.10435,20.2531,-3.92905,0,0,0,0,1.10435,1.10435
-2.95739,0.94427,2.23603,-2.97398,0.92797,2.18253,0.0145852,0.0227512,0.0227512,1.10435,1.10435,-3.92905,-35.8865,0,0,0,0,1.10435,1.10435
-2.97398,0.92797,2.18253,-2.98613,0.91596,2.12725,0.0144649,0.0227512,0.0227512,1.10435,1.10435,-35.8865,-112.5,0,0,0,0,1.10435,1.10435
-2.89399,0.97545,2.38852,-2.8913,1.01934,2.35584,0.0133736,0.0255477,0.0255477,0.724244,0.724244,38.7141,32.5719,0,0,0,0,0.724244,0.724244
-2.8913,1.01934,2.35584,-2.89041,1.05834,2.32013,0.0128382,0.0255477,0.0255477,0.724244,0.724244,32.5719,26.3839,0,0,0,0,0.724244,0.724244
-2.89041,1.05834,2.32013,-2.89196,1.09196,2.28156,0.0128441,0.0255477,0.0255477,0.724244,0.724244,26.3839,20.1108,0,0,0,0,0.724244,0.724244
-2.89196,1.09196,2.28156,-2.90066,1.12135,2.23977,0.0134855,0.0255477,0.0255477,0.724244,0.724244,20.1108,13.4372,0,0,0,0,0.724244,0.724244
-2.90066,1.12135,2.23977,-2.91715,1.14686,2.19464,0.0140271,0.0255477,0.0255477,0.724244,0.724244,13.4372,6.04136,0,0,0,0,0.724244,0.724244
-2.91715,1.14686,2.19464,-2.93549,1.16632,2.14448,0.0152035,0.0255477,0.0190961,0.724244,0.35865,6.04136,33.1705,0,0,0,0,0.724244,0.35865
-2.93233,1.16339,2.15906,-2.94497,1.17512,2.10077,0.0151939,0.0191608,0.0190961,0.365593,0.35865,37.499,17.5955,0,0,0,0,0.365593,0.35865
-2.94497,1.17512,2.10077,-2.96123,1.19167,2.0461,0.0148398,0.0190961,0.0190961,0.35865,0.35865,17.5955,-6.06231,0,0,0,0,0.35865,0.35865
-2.96123,1.19167,2.0461,-2.98155,1.21377,1.99494,0.0148314,0.0190961,0.0190961,0.35865,0.35865,-6.06231,-36.7384,0,0,0,0,0.35865,0.35865
-2.98155,1.21377,1.99494,-3.00641,1.24228,1.94719,0.0152345,0.0190961,0.0190961,0.35865,0.35865,-36.7384,-112.5,0,0,0,0,0.35865,0.35865
-2.94304,1.17394,2.15091,-2.97886,1.21685,2.121,0.013032,0.0191608,0.0191608,0.365593,0.365593,32.0345,9.29917,0,0,0,0,0.365593,0.365593
-2.97886,1.21685,2.121,-2.98648,1.26248,2.10141,0.012815,0.0191608,0.0191608,0.365593,0.365593,9.29917,-12.7586,0,0,0,0,0.365593,0.365593
-2.98648,1.26248,2.10141,-2.96512,1.31092,2.09049,0.016813,0.0191608,0.0191608,0.365593,0.365593,-12.7586,-43.5874,0,0,0,0,0.365593,0.365593
-2.96512,1.31092,2.09049,-2.93221,1.3489,2.08597,0.0168186,0.0191608,0.0191608,0.365593,0.365593,-43.5874,-112.5,0,0,0,0,0.365593,0.365593
-2.81517,0.97756,2.57851,-2.77835,0.99452,2.56482,0.0102508,0.0256858,0.0256858,0.64443,0.64443,47.8581,43.7068,0,0,0,0,0.64443,0.64443
-2.77835,0.99452,2.56482,-2.74277,0.97529,2.55535,0.0124379,0.0256858,0.0256858,0.64443,0.64443,43.7068,39.7017,0,0,0,0,0.64443,0.64443
-2.74277,0.97529,2.55535,-2.71495,0.93207,2.54843,0.0147866,0.0256858,0.0256858,0.64443,0.64443,39.7017,34.7267,0,0,0,0,0.64443,0.64443
-2.71495,0.93207,2.54843,-2.69231,0.87848,2.54128,0.0143153,0.0256858,0.0256858,0.64443,0.64443,34.7267,28.9178,0,0,0,0,0.64443,0.64443
-2.69231,0.87848,2.54128,-2.67405,0.827669,2.53118,0.0120809,0.0256858,0.0256858,0.64443,0.64443,28.9178,23.2418,0,0,0,0,0.64443,0.64443
-2.67405,0.827669,2.53118,-2.65839,0.784566,2.51478,0.0125952,0.0256858,0.0256858,0.64443,0.64443,23.2418,17.9976,0,0,0,0,0.64443,0.64443
-2.65839,0.784566,2.51478,-2.644,0.742339,2.49064,0.0129956,0.0256858,0.0256858,0.64443,0.64443,17.9976,12.3113,0,0,0,0,0.64443,0.64443
-2.644,0.742339,2.49064,-2.63313,0.700411,2.46229,0.0128282,0.0256858,0.0256858,0.64443,0.64443,12.3113,6.22829,0,0,0,0,0.64443,0.64443
-2.63313,0.700411,2.46229,-2.62788,0.659101,2.43289,0.012558,0.0256858,0.0256858,0.64443,0.64443,6.22829,-0.0848505,0,0,0,0,0.64443,0.64443
-2.62788,0.659101,2.43289,-2.62754,0.618872,2.40177,0.0132483,0.0256858,0.0256858,0.64443,0.64443,-0.0848505,-6.75755,0,0,0,0,0.64443,0.64443
-2.62754,0.618872,2.40177,-2.62796,0.579763,2.36604,0.0132386,0.0256858,0.0256858,0.64443,0.64443,-6.75755,-14.1788,0,0,0,0,0.64443,0.64443
-2.62796,0.579763,2.36604,-2.62869,0.540613,2.33177,0.0123659,0.0256858,0.0256858,0.64443,0.64443,-14.1788,-22.069,0,0,0,0,0.64443,0.64443
-2.62869,0.540613,2.33177,-2.62977,0.500183,2.30582,0.0112629,0.0256858,0.0256858,0.64443,0.64443,-22.069,-30.0674,0,0,0,0,0.64443,0.64443
-2.62977,0.500183,2.30582,-2.63312,0.457591,2.29131,0.0115321,0.0256858,0.0256858,0.64443,0.64443,-30.0674,-38.3405,0,0,0,0,0.64443,0.64443
-2.63312,0.457591,2.29131,-2.64414,0.413028,2.28181,0.0124095,0.0256858,0.0256858,0.64443,0.64443,-38.3405,-48.0342,0,0,0,0,0.64443,0.64443
-2.64414,0.413028,2.28181,-2.66284,0.366836,2.27435,0.0132248,0.0256858,0.0256858,0.64443,0.64443,-48.0342,-60.4064,0,0,0,0,0.64443,0.64443
